NAME,Total population,Population by sex and age,Population by sex and age (specific age group),Median household income,Population by race and Hispanic or Latino origin (specific group),Median family income,Per capita income,Housing units,Households,Population by age and sex (specific age group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Housing occupancy,Occupied housing units,Occupied housing units (specific type),Median gross rent,Median selected monthly owner costs as a percentage of household income,Family income,Poverty status in the past 12 months,Median gross rent as a percentage of household income,Poverty status in the past 12 months (specific group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Median earnings by place of work,Median earnings by place of residence,Total civilian labor force,Total civilian labor force (specific group),Unemployment rate,Employment status by industry,Households by income,Households by income (specific group),Households by income (specific group),Households by income (specific group),Population by sex and age (specific group),Population by sex and age (specific group),Population by sex and age (specific group),Per capita income (specific group),Per capita income (specific group),Median earnings by place of work (specific group),Median earnings by place of residence (specific group),Population by age and sex (specific group),Population by age and sex (specific group),Population by age and sex (specific group),Population by age and sex (specific group),state,congressional district
"Congressional District 17 (118th Congress), Florida",785836,647643,45659,69580,115500,14298,78354,291600,339651,55.2,595263,43899,110636,430230,430230,90579,1451,263401,332524,39307,7245220,126532,158411,55951,776349,776349,776349,376433,59428,15018,773593,218164,339651,7152,12259,19053,326,218164,78354,311092,311092,381456,404380,13588,13357,12,17
"Congressional District 18 (118th Congress), Florida",780642,519474,104259,56464,68834,17770,127439,185200,284392,40.8,426439,101318,217209,349286,349286,64894,1058,202894,340992,36156,8247290,164924,162592,24818,765091,765091,765091,381041,84396,10455,753961,193800,284392,10914,11862,67598,132,193800,127439,318247,318247,392868,387774,22352,9095,12,18
"Congressional District 19 (118th Congress), Florida",772972,601548,49511,74823,132008,13841,78554,350400,331600,53.3,540828,47797,148264,478273,478273,146673,1543,243613,338616,42256,7082830,128292,145521,58891,766391,766391,766391,374419,61862,10874,759505,210085,331600,4946,14426,27637,434,210085,78554,318781,318781,378450,394522,16582,12892,12,19
"Congressional District 20 (118th Congress), Florida",773320,231912,392380,57464,86583,30295,132188,258400,280213,38.5,155869,385063,182050,315890,315890,35677,1535,159962,403206,35342,9326700,189765,139034,34732,762988,762988,762988,364633,83305,7285,760466,178681,280213,12841,21380,29998,357,178681,132188,365326,365326,371246,402074,25599,7609,12,20
"Congressional District 21 (118th Congress), Florida",776143,558924,99962,76274,127302,18094,79012,342900,310687,48.3,499754,96407,134320,376017,376017,65330,1566,241375,365243,43474,8245720,154762,124646,50541,769009,769009,769009,377174,68801,10283,766138,203479,310687,7366,17521,27191,470,203479,79012,340539,340539,381693,394450,18028,9848,12,21
"Congressional District 22 (118th Congress), Florida",768503,465482,132946,73720,124633,22111,83467,340000,303688,46.1,377106,129765,215323,366530,366530,62842,1667,216839,382107,40759,8472205,155670,123541,53548,763130,763130,763130,374917,75531,8356,759542,190067,303688,8855,20646,52318,400,190067,83467,351155,351155,377789,390714,18006,9223,12,22
"Congressional District 23 (118th Congress), Florida",762506,496694,104423,78226,151512,20942,75817,412300,321449,44.9,422705,101251,167413,391847,391847,70398,1818,209869,399027,47803,8570950,162955,107139,64137,755007,755007,755007,371959,71708,8263,749094,184931,321449,5988,25988,32630,475,184931,75817,370819,370819,376783,385723,18951,10198,12,23
"Congressional District 24 (118th Congress), Florida",780118,256433,336421,56804,97926,24937,132054,333700,288751,39.0,125469,324118,299732,360708,360708,71957,1525,141787,401424,36264,10137315,186074,146033,42016,775289,775289,775289,380081,86890,6029,769337,179367,288751,13475,10937,48970,237,179367,132054,369471,369471,382208,397910,24795,7793,12,24
"Congressional District 25 (118th Congress), Florida",765444,416229,126274,78558,128901,21192,83425,401900,282554,40.7,254099,119884,327248,320600,320600,38046,1730,183046,416357,45581,10091435,191967,119300,55518,762276,762276,762276,375739,81137,6064,760396,194090,282554,9172,35646,40464,510,194090,83425,386175,386175,377585,387859,20289,8169,12,25
"Congressional District 26 (118th Congress), Florida",775185,414974,46088,64075,99632,15956,111629,367000,268868,42.7,142043,40042,576613,305559,305559,36691,1583,148895,398877,35555,9925860,173451,143734,38836,766885,766885,766885,379249,84095,7593,762866,197297,268868,13524,7857,55919,136,197297,111629,377042,377042,385584,389601,19671,8181,12,26
"Congressional District 27 (118th Congress), Florida",752682,404115,42451,72111,135174,15837,96408,471300,288622,42.0,128047,37689,555661,323089,323089,34467,1676,144602,411671,42247,10024180,173821,112077,57144,747631,747631,747631,364391,86737,5879,738335,183327,288622,10431,15604,34580,78,183327,96408,388273,388273,367289,385393,19637,6826,12,27
"Congressional District 28 (118th Congress), Florida",764574,407216,75028,72259,105387,16807,107774,396600,246688,40.1,123949,68714,547234,274492,274492,27804,1724,155763,389069,38127,11656015,189796,130330,34132,755918,755918,755918,369963,82096,6238,750996,189778,246688,16064,11392,47232,325,189778,107774,366779,366779,377019,387555,22010,7152,12,28
